,y_true,y_pred
0,Normal,Normal
1,Normal,Normal
2,Normal,Normal
3,Normal,Normal
4,Normal,Normal
5,Normal,Normal
6,Normal,Normal
7,Normal,Normal
8,Normal,Normal
9,Normal,Normal
10,Normal,Normal
11,Normal,Normal
12,Normal,Normal
13,Normal,Normal
14,Normal,Normal
15,Normal,Normal
16,Normal,Normal
17,Normal,Normal
18,Normal,Normal
19,Normal,Normal
20,Normal,Normal
21,Normal,Normal
22,Normal,Normal
23,Normal,Normal
24,Normal,Normal
25,Normal,Normal
26,Normal,Normal
27,Normal,Normal
28,Normal,Normal
29,Normal,Normal
30,Normal,Normal
31,Normal,Normal
32,Normal,Normal
33,Crouch Gait,Crouch Gait
34,Crouch Gait,Crouch Gait
35,Crouch Gait,Apparent Equinus
36,Crouch Gait,Apparent Equinus
37,Crouch Gait,Apparent Equinus
38,Jump Gait,Jump Gait
39,Jump Gait,Jump Gait
40,Jump Gait,Jump Gait
41,Jump Gait,Jump Gait
42,Jump Gait,Jump Gait
43,Apparent Equinus,Normal
44,Apparent Equinus,Normal
45,Apparent Equinus,Normal
46,Apparent Equinus,Apparent Equinus
47,Apparent Equinus,Apparent Equinus
48,True Equinus,Normal
49,True Equinus,Normal
50,True Equinus,Normal
51,True Equinus,Normal
52,True Equinus,True Equinus
53,True Equinus,True Equinus
54,True Equinus,True Equinus
