,y_true,y_pred
0,Normal,Normal
1,Normal,Normal
2,Normal,Normal
3,Normal,Normal
4,Normal,Normal
5,Normal,Normal
6,Normal,Normal
7,Normal,Normal
8,Normal,Normal
9,Normal,Normal
10,Normal,Normal
11,Normal,Normal
12,Normal,Normal
13,Normal,Normal
14,Normal,Normal
15,Normal,Normal
16,Normal,Normal
17,Normal,Normal
18,Normal,Normal
19,Normal,Normal
20,Normal,Normal
21,Normal,Normal
22,Normal,Normal
23,Normal,Normal
24,Normal,Normal
25,Normal,Normal
26,Normal,Normal
27,Normal,Normal
28,Normal,Normal
29,Normal,Normal
30,Normal,Normal
31,Normal,Normal
32,Normal,Normal
33,Normal,Normal
34,Normal,Normal
35,Normal,Normal
36,Crouch Gait,Crouch Gai
37,Crouch Gait,Crouch Gai
38,Crouch Gait,Normal
39,Crouch Gait,Normal
40,Crouch Gait,Normal
41,Crouch Gait,Normal
42,Jump Gait,Jump Gait
43,Jump Gait,Jump Gait
44,Jump Gait,True Equin
45,Jump Gait,Apparent E
46,Jump Gait,Jump Gait
47,Jump Gait,Jump Gait
48,Apparent Equinus,Crouch Gai
49,Apparent Equinus,Crouch Gai
50,Apparent Equinus,Jump Gait
51,Apparent Equinus,Jump Gait
52,True Equinus,True Equin
53,True Equinus,True Equin
54,True Equinus,True Equin
55,True Equinus,True Equin
56,True Equinus,True Equin
57,True Equinus,True Equin
58,True Equinus,True Equin
